id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10419898,10 mins walk to Beyazit Square - Private room,21907588,Alihan,,Fatih,41.00618,28.96698,Private room,136,30,0,,,65,365
10424927,"Sabiha Gokcen 1km, Viaport Avm 20m",53692264,Neşet,,Sultanbeyli,40.9551,29.30012,Entire home/apt,248,5,0,,,1,0
10429862,Topkapi Apt. Connection 2 Floor,33505256,Yusuf,,Fatih,41.0037,28.9723,Entire home/apt,894,1,1,2017-06-13,0.03,5,364
10447168,Room with a view on Bosphorus,10236536,Nur,,Sariyer,41.10404,29.05264,Private room,543,1,0,,,1,364
10453128,Levent-Spacious Luxury Upscale,53854642,Deniz,,Besiktas,41.06808,29.01807,Entire home/apt,378,6,0,,,1,0
10454345,a cosy room in central üsküdar,53860207,Derya,,Uskudar,41.02349,29.01084,Private room,76,1,0,,,1,0
10461813,Erica Residences Şişli,3995118,Turan,,Sisli,41.07423,28.99835,Entire home/apt,441,1,0,,,20,365
10462217,Nef Residences,3995118,Turan,,Kagithane,41.07842,28.99758,Private room,672,1,0,,,20,164
10465775,Erice Guest House,3995118,Turan,,Sisli,41.06089,28.98798,Private room,258,1,0,,,20,365
10466182,Turan Guest House,3995118,Turan,,Fatih,41.00881,28.9536,Shared room,81,1,1,2016-04-21,0.02,20,365
10467780,Apartment in central Beşiktaş,43754311,Tuba,,Besiktas,41.04375,28.99994,Private room,34,1,0,,,2,0
10471509,Near to Taksim Pera,53962380,Burak,,Beyoglu,41.03518,28.97431,Private room,102,1,0,,,1,365
10482862,taksim suite giris,7568466,Celal,,Beyoglu,41.0388,28.98357,Entire home/apt,273,2,8,2019-04-21,0.21,4,365
10484602,Bosphorus view in the city centre,9534675,Onur,,Besiktas,41.04314,29.01296,Entire home/apt,951,4,0,,,1,178
10484922,Kadıköy,54045939,Selen,,Kadikoy,40.99249,29.03094,Private room,124,1,0,,,1,0
